Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000361871,ENSG00000168703,ENST00000372785,0.79,0.966,PredHel=0,0.182686,extr 31,0.909,Q8WWY7
ENSP00000361956,ENSG00000064205,ENST00000372865,0.892,0.958,PredHel=0,0.994194,"extr 22, mito 5.5, cyto_mito 5, cyto 3.5",0.556,O76076
ENSP00000361959,ENSG00000064205,ENST00000372868,0.892,0.962,PredHel=0,0.940802,"extr 24, mito 3.5, cyto_mito 3, lyso 2",0.535,O76076
ENSP00000362108,ENSG00000148346,ENST00000373017,0.873,0.958,PredHel=0,0.43452,"extr 14, mito 5, cyto 4, mito_nucl 4, nucl 3,",0.938,P80188
ENSP00000362116,ENSG00000096088,ENST00000373025,0.88,0.953,PredHel=0,0.580347,"extr 24.5, extr_plas 16, plas 6.5",0.85,P20142
ENSP00000362123,ENSG00000138308,ENST00000373032,0.903,0.942,PredHel=0,0.59233,"extr 28, lyso 4",0.754,Q9BX93
ENSP00000362305,ENSG00000180644,ENST00000373209,0.824,0.857,PredHel=0,0.391549,"extr 22, extr_plas 13.5, plas 3, lyso 3",0.745,P14222
ENSP00000363081,ENSG00000107984,ENST00000373970,0.584,0.724,PredHel=0,0.423118,"extr 20, cyto 7, cyto_pero 5, mito 3",0.971,O94907
ENSP00000363489,ENSG00000125965,ENST00000374369,0.822,0.983,PredHel=0,0.565051,"extr 17, pero 4, E.R. 3.5, mito_pero 3.5, mit",0.835,P43026
ENSP00000363492,ENSG00000125965,ENST00000374372,0.822,0.983,PredHel=0,0.565051,"extr 17, pero 4, E.R. 3.5, mito_pero 3.5, mit",0.835,P43026
ENSP00000363768,ENSG00000159189,ENST00000374637,0.878,0.97,PredHel=0,0.448055,"extr 26, E.R. 5",0.79,P02747
ENSP00000363770,ENSG00000159189,ENST00000374639,0.878,0.97,PredHel=0,0.448055,"extr 26, E.R. 5",0.79,P02747
ENSP00000363771,ENSG00000159189,ENST00000374640,0.878,0.97,PredHel=0,0.448055,"extr 26, E.R. 5",0.79,P02747
ENSP00000364195,ENSG00000204305,ENST00000375055,0.911,0.976,PredHel=1,0.212435,"extr 25, E.R. 3, lyso 3",0.521,Q15109
ENSP00000364208,ENSG00000204305,ENST00000375067,0.91,0.962,PredHel=1,0.079071,"extr 27, lyso 3",0.292,Q15109
ENSP00000364257,ENSG00000188784,ENST00000375116,0.93,0.969,PredHel=1,0.273759,extr 32,0.942,Q9NZK7
ENSP00000364647,ENSG00000115263,ENST00000375497,0.652,0.805,PredHel=0,0.519612,"extr 28, pero 2, lyso 2",0.939,P01275
ENSP00000364660,ENSG00000204364,ENST00000375510,0.906,0.981,PredHel=0,0.785906,"extr 26, E.R. 4",0.59,P06681
ENSP00000364684,ENSG00000117122,ENST00000375534,0.817,0.947,PredHel=0,0.988165,extr 30,0.946,P55001
ENSP00000364685,ENSG00000117122,ENST00000375535,0.821,0.942,PredHel=0,0.930436,extr 31,0.951,P55001
ENSP00000364697,ENSG00000126231,ENST00000375547,0.746,0.857,PredHel=0,0.0431952,"extr 23, pero 3.5, cyto_pero 3.5, cyto 2.5",0.757,P22891
ENSP00000364731,ENSG00000057593,ENST00000375581,0.933,0.967,PredHel=0,0.392909,"extr 27, E.R. 4",0.52,P08709
ENSP00000364840,ENSG00000204396,ENST00000375688,0.557,0.89,PredHel=0,0.000103184,"extr 20, lyso 7, nucl 3, cyto_nucl 3",0.669,Q9Y334
ENSP00000365011,ENSG00000186354,ENST00000375851,0.729,0.925,PredHel=0,0.899029,"extr 12.5, mito 9, extr_plas 9, plas 4.5, mit",0.937,Q6ZRZ4
ENSP00000365048,ENSG00000102524,ENST00000375887,0.116,0.149,PredHel=1,0.924623,"cyto 12.5, plas 7, cyto_mito 7, extr_plas 6, ",0.929,Q9Y275
ENSP00000365075,ENSG00000215704,ENST00000375910,0.77,0.946,PredHel=0,0.042245,"extr 24, mito 4, lyso 3",0.838,P08218
ENSP00000365492,ENSG00000180483,ENST00000376315,0.84,0.985,PredHel=0,0.541197,extr 31,0.949,Q8N690
ENSP00000365499,ENSG00000180483,ENST00000376321,0.722,0.947,PredHel=0,0.702663,extr 30,0.909,Q8N690
ENSP00000365651,ENSG00000120937,ENST00000376468,0.84,0.889,PredHel=0,0.326837,extr 31,0.934,P16860
ENSP00000365659,ENSG00000175206,ENST00000376476,0.102,0.215,PredHel=0,0.626372,"nucl 17, cyto_nucl 15, cyto 9, extr 6",0.929,B0ZBE8
ENSP00000365751,ENSG00000204580,ENST00000376567,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000365752,ENSG00000204580,ENST00000376568,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000365753,ENSG00000204580,ENST00000376569,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000365754,ENSG00000204580,ENST00000376570,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000365759,ENSG00000204580,ENST00000376575,0.807,0.944,PredHel=1,0.990489,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.109,Q08345
ENSP00000366061,ENSG00000204640,ENST00000376865,0.637,0.918,PredHel=0,0.760361,"extr 26, mito 4",0.936,Q5H8A3
ENSP00000366117,ENSG00000161671,ENST00000376918,0.841,0.792,PredHel=0,0.00191867,"extr 18.5, extr_plas 10.5, mito 6, cyto 2, ly",0.512,Q5UCC4
ENSP00000366124,ENSG00000101439,ENST00000376925,0.898,0.933,PredHel=1,0.125442,extr 31,0.924,P01034
ENSP00000366170,ENSG00000173335,ENST00000376971,0.839,0.955,PredHel=1,0.317128,"extr 27, mito 2.5, cyto_mito 2",0.418,Q5W186
ENSP00000366176,ENSG00000204681,ENST00000376977,0.822,0.873,PredHel=0,0.161219,"extr 25, lyso 3, cyto_nucl 1.83333, nucl 1.5",0.719,Q9UBS5
ENSP00000366246,ENSG00000183098,ENST00000377047,0.75,0.919,PredHel=0,5.81E-08,"extr 19.5, extr_plas 11, E.R. 8, lyso 3",0.628,Q9Y625
ENSP00000366267,ENSG00000179399,ENST00000377067,0.882,0.91,PredHel=0,1.34E-06,"extr 25, lyso 5",0.62,P78333
ENSP00000366387,ENSG00000165072,ENST00000377182,0.87,0.959,PredHel=0,0.240094,"extr 23, lyso 3, E.R. 2, nucl 1.5, cyto_nucl ",0.671,Q7Z304
ENSP00000366654,ENSG00000131686,ENST00000377436,0.914,0.954,PredHel=0,0.961852,"extr 27, lyso 3",0.782,P23280
ENSP00000366662,ENSG00000131686,ENST00000377443,0.914,0.954,PredHel=0,0.920715,"extr 27, lyso 3",0.802,P23280
ENSP00000367013,ENSG00000215788,ENST00000377782,0.842,0.902,PredHel=1,0.318305,"extr 17, plas 9, E.R. 2, lyso 2",0.129,Q93038
ENSP00000367168,ENSG00000147113,ENST00000377934,0.705,0.941,PredHel=0,0.9275,"extr 23, plas 3, E.R._mito 2, mito 1.5, E.R. ",0.916,Q9H7Y0
ENSP00000367198,ENSG00000136110,ENST00000377962,0.103,0.167,PredHel=1,0.50825,"cyto 16, plas 5, nucl 5, E.R. 4",0.952,O75829
ENSP00000367330,ENSG00000204954,ENST00000378090,0.646,0.845,PredHel=0,0.923609,"extr 11, cyto 9, cyto_nucl 7.5, mito 5, nucl ",0.928,Q69YU5
ENSP00000367465,ENSG00000188937,ENST00000378220,0.848,0.852,PredHel=1,0.134395,"extr 26, lyso 5",0.492,Q9GZU5
ENSP00000367574,ENSG00000149131,ENST00000378323,0.822,0.94,PredHel=0,0.354149,"extr 23, E.R. 7",0.676,P05155
ENSP00000367703,ENSG00000185267,ENST00000378442,0.104,0.072,PredHel=0,0.981574,"extr 23, mito 7",0.92,Q49AH0
ENSP00000367811,ENSG00000136156,ENST00000378549,0.127,0.243,PredHel=1,0.897887,"cyto 26, extr 3",0.958,Q9Y287
ENSP00000367832,ENSG00000108688,ENST00000378569,0.89,0.956,PredHel=0,0.199394,"extr 28, plas 1, mito 1, E.R. 1, lyso 1, E.R.",0.927,P80098
ENSP00000367942,ENSG00000164404,ENST00000378673,0.819,0.985,PredHel=1,0.146963,"extr 24, E.R. 2, lyso 2, golg 2, E.R._golg 2",0.863,O60383
ENSP00000367952,ENSG00000165623,ENST00000378681,0.731,0.931,PredHel=0,0.461882,extr 32,0.977,Q8WVF2
ENSP00000368077,ENSG00000172724,ENST00000378800,0.834,0.982,PredHel=0,0.079005,extr 32,0.959,Q5VZ75
ENSP00000368104,ENSG00000125845,ENST00000378827,0.851,0.792,PredHel=1,0.0669345,"extr 14, plas 9, E.R. 4, cyto 3.5, cyto_pero ",0.936,P12643
ENSP00000368116,ENSG00000151468,ENST00000378839,0.102,0.033,PredHel=0,0.881745,"cyto 18.5, cyto_nucl 14.5, nucl 7.5, extr 4",0.912,Q9BQI4
ENSP00000368567,ENSG00000186891,ENST00000379265,0.843,0.856,PredHel=1,0.385019,"extr 18, plas 12",0.136,Q9Y5U5
ENSP00000368570,ENSG00000186891,ENST00000379268,0.843,0.856,PredHel=1,0.379432,"extr 18, plas 12",0.183,Q9Y5U5
ENSP00000369014,ENSG00000173376,ENST00000379692,0.894,0.943,PredHel=0,0.0529867,"extr 20, mito 4, nucl 2.5, E.R. 2.5, cyto_nuc",0.647,Q8TB73
ENSP00000427827,ENSG00000145777,ENST00000379706,0.241,0.178,PredHel=0,0.949304,"cyto 18.5, cyto_nucl 13, nucl 6.5, extr 6",0.904,Q969D9
ENSP00000369286,ENSG00000112799,ENST00000379953,0.827,0.933,PredHel=0,0.417078,"extr 25, mito 3, lyso 3",0.865,O95711
ENSP00000369323,ENSG00000168743,ENST00000379987,0.837,0.956,PredHel=0,0.210325,"extr 23, E.R. 5, lyso 3",0.435,Q6UXI9
ENSP00000369331,ENSG00000147894,ENST00000379995,0.137,0.143,PredHel=0,0.547572,"cyto 18, cyto_nucl 15.5, mito 7, nucl 5",0.902,Q96LT7
ENSP00000369333,ENSG00000147894,ENST00000379997,0.137,0.143,PredHel=0,0.547572,"cyto 18, cyto_nucl 15.5, mito 7, nucl 5",0.902,Q96LT7
ENSP00000369647,ENSG00000101200,ENST00000380293,0.737,0.909,PredHel=0,0.986658,extr 32,0.947,P01185
ENSP00000369704,ENSG00000125787,ENST00000380346,0.904,0.877,PredHel=0,0.931214,"extr 28, mito 2",0.824,O43555
ENSP00000369705,ENSG00000125787,ENST00000380347,0.904,0.822,PredHel=0,0.935008,"extr 28, mito 2",0.837,O43555
ENSP00000369753,ENSG00000167346,ENST00000380390,0.835,0.948,PredHel=0,0.105496,"extr 22, pero 4, E.R. 2, lyso 2",0.809,Q9NRE1
ENSP00000369798,ENSG00000178473,ENST00000380433,0.834,0.937,PredHel=0,0.771342,"extr 28, E.R. 3",0.723,Q969E3
ENSP00000369816,ENSG00000129214,ENST00000380450,0.889,0.866,PredHel=0,0.775291,"extr 19.5, extr_plas 11, mito 3, lyso 3, golg",0.604,P04278
ENSP00000369921,ENSG00000178031,ENST00000380548,0.88,0.952,PredHel=0,0.631074,"extr 25, lyso 4",0.455,Q8N6G6
ENSP00000369940,ENSG00000178031,ENST00000380566,0.88,0.952,PredHel=0,0.0401206,"extr 22, lyso 9",0.832,Q8N6G6
ENSP00000369976,ENSG00000198759,ENST00000380602,0.758,0.92,PredHel=0,0.00137157,"extr 25, E.R. 3.5, E.R._golg 2.5",0.587,Q8IUX8
ENSP00000370088,ENSG00000125363,ENST00000380712,0.914,0.945,PredHel=0,0.153124,"extr 26, mito 4",0.457,Q99217
ENSP00000370090,ENSG00000125363,ENST00000380714,0.915,0.941,PredHel=0,0.146829,"extr 21, mito 5, E.R. 3, lyso 3",0.497,Q99217
ENSP00000370147,ENSG00000105371,ENST00000380770,0.753,0.743,PredHel=1,0.0211728,"extr 23, plas 7",0.659,Q14773
ENSP00000370171,ENSG00000115138,ENST00000380794,0.823,0.885,PredHel=0,0.305184,"extr 27, mito 5",0.843,P01189
ENSP00000370262,ENSG00000164946,ENST00000380880,0.866,0.94,PredHel=1,0.0952562,"extr 16, E.R. 5, pero 5, mito 2, lyso 2, golg",0.451,Q5H8C1
ENSP00000370725,ENSG00000104918,ENST00000381324,0.777,0.968,PredHel=0,0.411627,extr 32,0.929,Q9HD89
ENSP00000370731,ENSG00000254647,ENST00000381330,0.891,0.973,PredHel=0,0.955087,extr 32,0.974,P01308
ENSP00000370978,ENSG00000205755,ENST00000381566,0.789,0.96,PredHel=1,0.0257379,extr 30,0.93,Q9HC73
ENSP00000371036,ENSG00000125900,ENST00000381623,0.636,0.98,PredHel=0,0.0358286,"extr 20, mito 5, cyto_nucl 3.5, cyto 2.5, E.R",0.918,Q9H106
ENSP00000371497,ENSG00000082196,ENST00000382065,0.934,0.959,PredHel=0,0.982291,"extr 25, lyso 6",0.279,Q9BXJ4
ENSP00000371554,ENSG00000109610,ENST00000382120,0.82,0.931,PredHel=0,0.566688,"extr 28, lyso 3",0.71,P08294
ENSP00000371643,ENSG00000205883,ENST00000382208,0.867,0.934,PredHel=0,0.636069,extr 32,0.942,Q30KP9
ENSP00000371644,ENSG00000205884,ENST00000382209,0.866,0.938,PredHel=0,0.135959,extr 32,0.927,Q30KP8
ENSP00000371770,ENSG00000137440,ENST00000382333,0.853,0.931,PredHel=0,0.0868908,extr 32,0.914,Q14512
ENSP00000371790,ENSG00000102678,ENST00000382353,0.101,0.114,PredHel=0,0.61733,"extr 7, mito 5.5, mito_pero 5.5, nucl 5, cyto",0.915,P31371
ENSP00000371847,ENSG00000178591,ENST00000382410,0.841,0.88,PredHel=0,0.879766,"extr 28, lyso 2",0.374,Q8N687
ENSP00000372126,ENSG00000206047,ENST00000382679,0.921,0.967,PredHel=0,0.552197,extr 32,0.939,P59665
ENSP00000372136,ENSG00000240247,ENST00000382689,0.921,0.967,PredHel=0,0.552197,extr 32,0.939,P59665
ENSP00000372139,ENSG00000206047,ENST00000382692,0.921,0.967,PredHel=0,0.552197,extr 32,0.939,P59665
ENSP00000372224,ENSG00000109758,ENST00000382774,0.856,0.971,PredHel=1,0.382546,"extr 22, lyso 7",0.772,Q04756
ENSP00000372313,ENSG00000102854,ENST00000382862,0.692,0.841,PredHel=1,8.73E-08,"extr 16, E.R. 6.5, lyso 5, E.R._golg 5, golg ",0.497,Q13421
ENSP00000372505,ENSG00000099721,ENST00000383036,0.9,0.895,PredHel=0,0.218766,"extr 27, mito 3",0.513,Q99218
ENSP00000372565,ENSG00000227801,ENST00000383087,0.847,0.927,PredHel=1,0.0319532,"extr 16, E.R. 8, extr_plas 8",0.059,P13942
ENSP00000372566,ENSG00000206290,ENST00000383088,0.847,0.927,PredHel=1,0.588876,"extr 28, lyso 3",0.764,P13942
ENSP00000372762,ENSG00000206320,ENST00000383275,0.911,0.976,PredHel=1,0.212435,"extr 25, E.R. 3, lyso 3",0.521,Q15109
ENSP00000372766,ENSG00000206320,ENST00000383279,0.91,0.962,PredHel=1,0.079071,"extr 27, lyso 3",0.292,Q15109
ENSP00000372853,ENSG00000206372,ENST00000383362,0.906,0.981,PredHel=0,0.785906,"extr 26, E.R. 4",0.59,P06681
ENSP00000372868,ENSG00000137332,ENST00000383377,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000373022,ENSG00000206459,ENST00000383530,0.851,0.935,PredHel=0,0.37067,"extr 21, mito 6, pero 3, cyto_mito 3, mito_nu",0.737,Q9UIG4
ENSP00000373024,ENSG00000206461,ENST00000383532,0.843,0.952,PredHel=0,0.308586,"extr 28, pero 2",0.816,Q6UXA7
ENSP00000373360,ENSG00000175182,ENST00000383847,0.167,0.231,PredHel=0,0.854716,"extr 10, nucl 9.5, cyto_nucl 8.33333, cyto 4,",0.915,Q6UXB0
ENSP00000373610,ENSG00000155719,ENST00000388958,0.741,0.945,PredHel=0,8.72E-06,"extr 22, mito 4, lyso 4",0.575,Q7RTW8
ENSP00000375086,ENSG00000131142,ENST00000390669,0.826,0.972,PredHel=0,0.0594846,"extr 27, lyso 3",0.561,O15444
ENSP00000375681,ENSG00000129451,ENST00000391805,0.688,0.658,PredHel=0,0.68277,"extr 20, cyto 5, mito 5, cyto_mito 5",0.911,O43240
ENSP00000375682,ENSG00000129455,ENST00000391806,0.909,0.972,PredHel=1,0.288161,"extr 28, pero 3",0.823,O60259
ENSP00000375742,ENSG00000267631,ENST00000391869,0.928,0.94,PredHel=0,0.909855,"extr 26, mito 2, lyso 2",0.464,J3QT02
ENSP00000375778,ENSG00000196878,ENST00000391911,0.826,0.826,PredHel=0,0.597192,"extr 24, lyso 4, pero 2",0.396,Q13751
ENSP00000375790,ENSG00000123843,ENST00000391923,0.869,0.91,PredHel=0,0.576971,"extr 28, cyto 2, lyso 2",0.528,P20851
ENSP00000375796,ENSG00000162891,ENST00000391930,0.745,0.894,PredHel=0,0.991814,"extr 26, mito 2, lyso 2",0.903,Q9NYY1
ENSP00000375849,ENSG00000178602,ENST00000391989,0.826,0.966,PredHel=0,0.918843,"extr 28, nucl 1, cyto 1, E.R. 1, cyto_nucl 1,",0.982,Q8NHW6
ENSP00000375860,ENSG00000163359,ENST00000392003,0.862,0.888,PredHel=0,0.876985,"extr 18, mito 4, pero 3, lyso 3, golg 2",0.547,P12111
ENSP00000375861,ENSG00000163359,ENST00000392004,0.87,0.956,PredHel=0,0.876237,"extr 19, mito 7, cyto 3",0.595,P12111
ENSP00000441182,ENSG00000093134,ENST00000392393,0.566,0.985,PredHel=1,0.452641,"extr 28, E.R. 2, lyso 2",0.911,Q9NY84
ENSP00000376240,ENSG00000173918,ENST00000392445,0.88,0.963,PredHel=1,0.875078,"extr 25, lyso 4",0.721,Q9BXJ1
ENSP00000376524,ENSG00000153246,ENST00000392771,0.881,0.946,PredHel=0,0.206808,"extr 25, lyso 3, nucl 1.5, cyto_nucl 1.5",0.596,Q13018
ENSP00000376569,ENSG00000204414,ENST00000392824,0.821,0.855,PredHel=0,0.672465,extr 32,0.951,J3QT06
ENSP00000376623,ENSG00000213218,ENST00000392886,0.82,0.916,PredHel=0,0.857745,extr 31,0.917,P0DML3
ENSP00000376637,ENSG00000017427,ENST00000392904,0.563,0.715,PredHel=0,0.750657,extr 31,0.937,P05019
ENSP00000376638,ENSG00000017427,ENST00000392905,0.864,0.951,PredHel=0,0.663877,extr 32,0.92,Q13429
ENSP00000376717,ENSG00000130558,ENST00000392991,0.475,0.87,PredHel=0,0.236032,"extr 26, pero 3",0.955,Q99784
ENSP00000376780,ENSG00000197859,ENST00000393060,0.937,0.958,PredHel=0,0.124025,"extr 20, nucl 5, cyto 5, cyto_pero 4",0.552,Q86TH1
ENSP00000376802,ENSG00000197249,ENST00000393087,0.916,0.959,PredHel=0,0.0542112,"extr 17, E.R. 10, plas 4",0.743,P01009
ENSP00000376803,ENSG00000197249,ENST00000393088,0.916,0.959,PredHel=0,0.0542112,"extr 17, E.R. 10, plas 4",0.743,P01009
ENSP00000376862,ENSG00000011465,ENST00000393155,0.858,0.955,PredHel=0,0.85266,"extr 20, mito 5, lyso 4",0.557,P07585
ENSP00000377270,ENSG00000203970,ENST00000393660,0.703,0.916,PredHel=0,0.397333,extr 32,0.914,Q30KQ9
ENSP00000377304,ENSG00000157322,ENST00000393701,0.891,0.97,PredHel=0,0.415113,"extr 14.5, extr_plas 14, plas 12.5, E.R. 2, p",0.758,A5D8T8
ENSP00000377310,ENSG00000137496,ENST00000393707,0.842,0.926,PredHel=0,0.996158,extr 32,0.911,O95998
ENSP00000377358,ENSG00000172116,ENST00000393761,0.78,0.945,PredHel=0,0.957605,extr 29,0.944,P10966
ENSP00000377512,ENSG00000115318,ENST00000393937,0.916,0.973,PredHel=0,0.411715,"extr 22, lyso 6, pero 3",0.672,P58215
ENSP00000377569,ENSG00000085514,ENST00000394000,0.722,0.917,PredHel=0,0.0446216,extr 29,0.96,Q9UKJ1
ENSP00000377783,ENSG00000184500,ENST00000394236,0.895,0.754,PredHel=0,0.022646,"extr 19, E.R. 7, E.R._golg 5, lyso 3",0.547,P07225
ENSP00000377917,ENSG00000164112,ENST00000394394,0.599,0.81,PredHel=0,0.240174,extr 29,0.926,Q4W5P6
ENSP00000377919,ENSG00000164112,ENST00000394396,0.599,0.81,PredHel=0,0.240174,extr 29,0.926,Q4W5P6
ENSP00000378058,ENSG00000115380,ENST00000394555,0.848,0.927,PredHel=0,0.00679136,"extr 28, lyso 4",0.74,Q12805
ENSP00000378118,ENSG00000108700,ENST00000394620,0.901,0.953,PredHel=0,0.278658,extr 32,0.907,P80075
ENSP00000378129,ENSG00000204970,ENST00000394633,0.894,0.947,PredHel=0,0.266959,"extr 19, E.R. 4, lyso 4, pero 3",0.447,Q9Y5I3
ENSP00000378130,ENSG00000205403,ENST00000394634,0.808,0.95,PredHel=0,0.521977,"extr 27, cyto 1, mito 1, E.R. 1, pero 1, lyso",0.63,P05156
ENSP00000378200,ENSG00000016490,ENST00000394711,0.798,0.953,PredHel=0,0.00329112,"extr 27, cyto_pero 2.5, cyto 2",0.613,A8K7I4
ENSP00000378534,ENSG00000152595,ENST00000395102,0.919,0.902,PredHel=0,0.474388,"extr 26, lyso 2, E.R. 1.5, E.R._golg 1.5",0.269,Q9NQ76
ENSP00000378550,ENSG00000129009,ENST00000395118,0.939,0.97,PredHel=0,1.50E-07,"extr 17, plas 3, cyto 3, E.R. 3, lyso 3, cyto",0.632,O14498
ENSP00000378575,ENSG00000114378,ENST00000395143,0.883,0.877,PredHel=0,0.0917134,"extr 27, lyso 3",0.787,Q12794
ENSP00000378576,ENSG00000114378,ENST00000395144,0.883,0.877,PredHel=0,0.0871239,"extr 26, lyso 4",0.791,Q12794
ENSP00000378620,ENSG00000204248,ENST00000395194,0.847,0.927,PredHel=1,0.588876,"extr 28, lyso 3",0.764,P13942
ENSP00000379015,ENSG00000124205,ENST00000395654,0.806,0.861,PredHel=0,0.982151,"extr 24, cyto_pero 3.5, cyto 2.5, nucl 2, mit",0.978,P14138
ENSP00000379139,ENSG00000107562,ENST00000395793,0.87,0.953,PredHel=0,0.75355,extr 32,0.92,P48061
ENSP00000379141,ENSG00000107562,ENST00000395795,0.866,0.956,PredHel=0,0.13843,extr 32,0.914,P48061
ENSP00000379170,ENSG00000115138,ENST00000395826,0.823,0.885,PredHel=0,0.305184,"extr 27, mito 5",0.843,P01189
ENSP00000379191,ENSG00000085063,ENST00000395850,0.879,0.954,PredHel=0,7.41E-07,extr 29,0.958,P13987
ENSP00000379401,ENSG00000109205,ENST00000396094,0.815,0.873,PredHel=0,0.68279,"extr 26, lyso 4",0.867,A1E959
ENSP00000379438,ENSG00000169344,ENST00000396134,0.877,0.954,PredHel=0,1.71E-07,"extr 25, lyso 3, nucl 2.5, cyto_nucl 2.5",0.681,P07911
ENSP00000379472,ENSG00000187094,ENST00000396169,0.868,0.968,PredHel=0,0.203016,extr 31,0.907,P06307
ENSP00000379657,ENSG00000110680,ENST00000396372,0.855,0.933,PredHel=0,0.570591,extr 32,0.946,P01258
ENSP00000379798,ENSG00000197614,ENST00000396549,0.644,0.915,PredHel=0,0.825467,extr 32,0.963,Q13361
ENSP00000379889,ENSG00000171243,ENST00000396652,0.726,0.951,PredHel=0,0.560376,extr 31,0.93,Q6X4U4
ENSP00000380432,ENSG00000254647,ENST00000397262,0.891,0.973,PredHel=0,0.955087,extr 32,0.974,P01308
ENSP00000380602,ENSG00000144619,ENST00000397461,0.742,0.957,PredHel=0,1.55E-07,"extr 23, nucl 3, plas 2, lyso 2, mito_nucl 2",0.457,Q8IWV2
ENSP00000380775,ENSG00000204852,ENST00000397655,0.897,0.956,PredHel=0,0.165299,"extr 23, lyso 5, golg 2",0.797,Q2MV58
ENSP00000380779,ENSG00000204852,ENST00000397659,0.897,0.956,PredHel=0,0.161618,"extr 26, lyso 4",0.792,Q2MV58
ENSP00000380870,ENSG00000142173,ENST00000397763,0.847,0.973,PredHel=0,0.58261,"extr 21, cyto_pero 3, cyto 2, mito 2, E.R. 2,",0.253,P12110
ENSP00000380959,ENSG00000214226,ENST00000397861,0.758,0.942,PredHel=0,0.155573,extr 32,0.964,Q0P5P2
ENSP00000381077,ENSG00000214274,ENST00000397990,0.899,0.929,PredHel=1,0.450817,extr 30,0.903,P03950
ENSP00000381081,ENSG00000258818,ENST00000397995,0.862,0.94,PredHel=1,0.658808,extr 32,0.924,P34096
ENSP00000381092,ENSG00000173464,ENST00000398008,0.805,0.971,PredHel=0,9.91E-05,extr 29,0.933,Q8TAA1
ENSP00000381093,ENSG00000173464,ENST00000398009,0.805,0.971,PredHel=0,9.91E-05,extr 29,0.933,Q8TAA1
ENSP00000381105,ENSG00000214285,ENST00000398023,0.764,0.967,PredHel=0,0.0433324,"extr 27, nucl 2, cyto 2, cyto_nucl 2",0.918,P0C0P6
ENSP00000381199,ENSG00000257017,ENST00000398131,0.88,0.96,PredHel=0,0.0652445,"extr 27, E.R. 3",0.689,P00738
ENSP00000381221,ENSG00000176358,ENST00000398154,0.842,0.973,PredHel=0,0.623681,"extr 25, plas 5",0.963,Q86UU9
ENSP00000381439,ENSG00000170373,ENST00000398402,0.924,0.972,PredHel=0,0.324189,"nucl 22, cyto_nucl 13, extr 6",0.95,P01037
ENSP00000381446,ENSG00000101439,ENST00000398409,0.898,0.933,PredHel=1,0.125442,extr 31,0.924,P01034
ENSP00000381448,ENSG00000101439,ENST00000398411,0.898,0.933,PredHel=1,0.125442,extr 31,0.924,P01034
ENSP00000381642,ENSG00000183844,ENST00000398647,0.111,0.079,PredHel=0,0.825277,"nucl 12.5, cyto_nucl 12, cyto 8.5, mito 5, ex",0.905,P58499
ENSP00000382485,ENSG00000171199,ENST00000399575,0.846,0.948,PredHel=0,0.550738,"extr 26, E.R. 2, pero 2, lyso 2",0.641,Q99935
ENSP00000383261,ENSG00000137332,ENST00000400410,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000383262,ENSG00000137332,ENST00000400411,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000383265,ENSG00000137332,ENST00000400414,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000383334,ENSG00000215522,ENST00000400486,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000383336,ENSG00000215522,ENST00000400488,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000383337,ENSG00000215522,ENST00000400489,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000383338,ENSG00000215522,ENST00000400491,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000383339,ENSG00000215522,ENST00000400492,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000383449,ENSG00000079101,ENST00000400606,0.856,0.943,PredHel=0,0.338979,"extr 28, lyso 3",0.567,Q15846
ENSP00000383563,ENSG00000174992,ENST00000400752,0.852,0.928,PredHel=0,0.163083,extr 31,0.924,O60844
ENSP00000383691,ENSG00000009724,ENST00000400898,0.769,0.876,PredHel=0,0.299637,extr 31,0.903,O00187
